cross,block,row,plant_num,disease_score
311x9540,F1B,12,11,4
360x9540,F1B,12,12,4
374xW,F1B,13,1,NA
360x9540,F1B,13,2,3
374xW,F1B,13,3,3
374xW,F1B,13,4,4
374xW,F1B,13,5,NA
360x9540,F1B,13,6,4
374xW,F1B,13,7,3
364xW,F1B,13,8,3
374xW,F1B,13,9,3
315xW,F1B,13,10,4
311x9540,F1B,13,11,NA
360x9540,F1B,13,12,4
